Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017/09/01,00:01,Friday,SHEPPARD STATION,PUSI,0,0,N,YU,5631
2017/09/01,00:06,Friday,ST GEORGE YUS STATION,MUIS,0,0,S,YU,0
2017/09/01,01:01,Friday,ISLINGTON STATION,PUMEL,0,0,,BD,0
2017/09/01,02:24,Friday,BLOOR STATION,MUIS,0,0,,YU,0
2017/09/01,04:45,Friday,QUEEN STATION,PUSI,0,0,N,YU,0
2017/09/01,05:30,Friday,YONGE SHP STATION,EUBO,5,10,E,SHP,6186
2017/09/01,05:33,Friday,WILSON HOSTLER,MUSC,0,0,S,YU,5761
2017/09/01,06:43,Friday,BROADVIEW STATION,MUIE,0,0,E,BD,5194
2017/09/01,06:53,Friday,JANE STATION,TUSC,0,0,W,BD,5286
2017/09/01,07:03,Friday,JANE STATION,MUSC,0,0,E,BD,5082
2017/09/01,07:30,Friday,KIPLING STATION,TUSC,0,0,W,BD,5307
2017/09/01,07:58,Friday,ST CLAIR WEST STATION,MUSC,0,0,N,YU,5571
2017/09/01,08:42,Friday,OLD MILL STATION,PUTO,0,0,E,BD,5309
2017/09/01,08:48,Friday,PAPE STATION,SUO,0,0,E,BD,5156
2017/09/01,08:49,Friday,WOODBINE STATION,MUSC,0,0,W,BD,5046
2017/09/01,08:52,Friday,LANSDOWNE STATION,TUO,5,8,E,BD,5309
2017/09/01,08:59,Friday,COLLEGE STATION,MUO,0,0,S,YU,5691
2017/09/01,09:01,Friday,CHRISTIE STATION,MUO,7,9,E,BD,5309
2017/09/01,09:26,Friday,BAY STATION,MUIS,0,0,E,BD,0
2017/09/01,09:57,Friday,OLD MILL STATION,PUTIJ,0,0,E,BD,5357
2017/09/01,10:01,Friday,YORKDALE STATION,PUSTS,0,0,N,YU,6001
2017/09/01,10:02,Friday,BAY STATION,SUO,0,0,E,BD,5314
2017/09/01,11:07,Friday,COXWELL STATION,MUSC,0,0,W,BD,5285
2017/09/01,11:11,Friday,DUNDAS WEST STATION,MUIS,0,0,,BD,4087
2017/09/01,13:03,Friday,OLD MILL STATION,PUSTC,0,0,E,BD,5241
2017/09/01,13:18,Friday,SHEPPARD WEST STATION,MUIR,0,0,S,YU,5706
2017/09/01,13:26,Friday,DON MILLS STATION,EUNT,5,10,W,SHP,6156
2017/09/01,13:39,Friday,JANE STATION,MUIR,4,7,W,BD,5335
2017/09/01,13:59,Friday,KENNEDY SRT STATION,TRO,3,8,S,SRT,3000
2017/09/01,14:35,Friday,KING STATION,MUPAA,0,0,N,YU,5626
2017/09/01,14:36,Friday,WARDEN STATION,PUSO,3,6,W,BD,5116
2017/09/01,14:50,Friday,OSSINGTON STATION,TUSC,0,0,W,BD,5090
2017/09/01,14:58,Friday,YONGE SHP STATION,TUSC,0,0,E,SHP,6141
2017/09/01,15:25,Friday,WILSON HOSTLER,MUSC,0,0,S,YU,5811
2017/09/01,15:42,Friday,KENNEDY BD STATION,MUIR,3,6,W,BD,5240
2017/09/01,15:48,Friday,SPADINA BD STATION,MUIS,0,0,,BD,0
2017/09/01,15:50,Friday,SPADINA BD STATION,MUIRS,0,0,,BD,0
2017/09/01,16:01,Friday,CHRISTIE STATION,MUSC,0,0,E,BD,5057
2017/09/01,16:42,Friday,MUSEUM STATION,SUDP,8,10,N,YU,5691
2017/09/01,16:54,Friday,YONGE BD STATION,PUMEL,0,0,,BD,0
2017/09/01,17:01,Friday,OLD MILL STATION,PUSTC,3,6,E,BD,5105
2017/09/01,17:28,Friday,SPADINA BD STATION,TUDOE,13,16,W,BD,5286
2017/09/01,17:51,Friday,BROADVIEW STATION,MUO,9,12,E,BD,5331
2017/09/01,18:11,Friday,DUNDAS STATION,SUCOL,0,0,S,YU,5586
2017/09/01,18:11,Friday,KEELE STATION,MUPAA,0,0,E,BD,5129
2017/09/01,18:23,Friday,WILSON STATION,MUPAA,0,0,N,YU,5736
