Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017/07/01,00:18,Saturday,QUEEN STATION,MUPAA,4,8,N,YU,6086
2017/07/01,00:22,Saturday,QUEEN STATION,MUIS,0,0,,YU,0
2017/07/01,00:23,Saturday,GLENCAIRN STATION,SUDP,8,12,N,YU,6001
2017/07/01,00:44,Saturday,WELLESLEY STATION,MUPAA,3,7,N,YU,5626
2017/07/01,01:24,Saturday,WILSON STATION,MUSC,0,0,S,YU,5556
2017/07/01,01:32,Saturday,WILSON YARD,TUMVS,0,0,S,YU,5426
2017/07/01,01:50,Saturday,WARDEN STATION,TUSC,0,0,W,BD,5150
2017/07/01,05:25,Saturday,JANE STATION,MUNCA,0,0,,BD,0
2017/07/01,05:56,Saturday,FINCH STATION,TUSC,0,0,S,YU,5601
2017/07/01,06:09,Saturday,KEELE STATION,MUSC,0,0,W,BD,5056
2017/07/01,06:10,Saturday,YORK MILLS STATION,MUO,0,0,N,YU,0
2017/07/01,07:47,Saturday,KIPLING STATION,TUNIP,4,8,,BD,5058
2017/07/01,08:29,Saturday,ROSEDALE STATION,SUO,11,15,N,YU,5776
2017/07/01,08:32,Saturday,FINCH STATION,MUIS,0,0,,YU,0
2017/07/01,09:46,Saturday,ROYAL YORK STATION,TUSC,0,0,E,BD,5131
2017/07/01,10:33,Saturday,KEELE STATION,SUDP,0,0,E,BD,5102
2017/07/01,10:49,Saturday,EGLINTON STATION,MUPAA,0,0,S,YU,5871
2017/07/01,11:29,Saturday,DUNDAS WEST STATION,SUDP,4,8,W,BD,5366
2017/07/01,11:40,Saturday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2017/07/01,12:18,Saturday,KENNEDY BD STATION,MUSC,0,0,W,BD,5235
2017/07/01,12:44,Saturday,BLOOR STATION,SUDP,0,0,S,BD,0
2017/07/01,13:42,Saturday,YONGE BD STATION,SUO,6,10,W,BD,5022
2017/07/01,13:44,Saturday,WILSON STATION,MUSC,0,0,S,YU,5836
2017/07/01,13:47,Saturday,WILSON STATION,MUSC,0,0,S,YU,5901
